電力供給,外気温度,電力需要,太陽電池アレイの発電量1
1,3.2,0.397238659,0
1,3.4,0.74330938,0.069390398
1,3.2,13.48984706,2.272669655
1,5,4.556788008,4.709253794
1,6.6,0.78777453,6.359925263
1,8.7,0.376091992,7.319465462
1,10.5,0.397238659,7.624104439
1,11.5,0.397238659,7.303247981
1,12,0.376091992,6.422352663
1,12.2,0.397238659,4.734016359
1,11.9,0.397238659,2.030264202
1,11.2,0.376091992,0.136633346
1,9.7,0.397238659,0
1,8.7,0.718687468,0
1,8.1,1.835997533,0
1,7.5,3.232016654,0
1,6.7,3.688346366,0
1,6,1.401968106,0
1,5.2,1.700749145,0
1,4.8,0.918357893,0
1,4.5,0.375986973,0
1,4.9,0.39713364,0
1,4.7,0.39713364,0
1,4.2,0.375986973,0
1,4.1,10.1071067,0
1,4.2,4.050608389,0.042354713
1,4.7,3.931905365,0.813954737
1,5.4,2.38539686,3.6330483
1,7.3,2.15273898,3.854790733
1,9.5,0.665684759,5.472964936
1,11.5,0.411441605,7.420359833
1,13.7,1.383035392,7.119049631
1,15.1,0.692847432,6.047144414
1,15.1,0.529892053,4.166946865
1,14.5,0.39713364,1.457243301
1,14.1,0.562134202,0.13469148
1,13.6,1.31231401,0
1,12.4,2.411178518,0
1,11.8,2.49653867,0
1,11.2,2.193125425,0
1,10.9,3.190182586,0
1,10.9,2.982868875,0
1,9.6,1.939362822,0
1,8.4,0.918561409,0
1,7.1,0.376190489,0
1,6.3,0.397337156,0
1,5.6,0.397337156,0
1,5.1,0.376190489,0
1,4.9,6.103606543,0
1,4,3.18298659,0.041806207
1,3.9,2.910472185,0.446080965
1,4.9,1.477844894,1.470606806
1,6.4,2.152350571,1.920162491
1,6.9,0.665888275,2.788221182
1,8,0.411645121,3.438734546
1,7.8,1.381463131,4.259092116
1,7.5,0.693050948,1.321301619
1,7.1,0.530095569,0.978610155
1,6.6,0.397337156,0.507027579
1,5.9,0.561745793,0.069028146
1,5.2,2.759901443,0
1,4.7,3.308576149,0
1,4.3,3.321305224,0
1,3.6,3.337215612,0
1,3,4.490357171,0
1,2.8,4.080639463,0
1,2.2,1.938974412,0
1,1.3,0.91866418,0
1,1.2,0.37629326,0
1,1.1,0.397439926,0
1,0.7,0.397439926,0
1,0.2,0.37629326,0
1,0.4,9.903014223,0
1,0.3,4.217431814,0.070270153
1,1.1,3.561751744,1.885866542
1,3.2,1.854496162,3.920964546
1,5.2,2.153045267,3.822183472
1,5,0.665991046,2.319429502
1,6.6,0.917423141,2.01050655
1,6,1.794004714,1.950629298
1,6,0.693153718,3.498950775
1,6.5,0.530198339,3.668874966
1,6.4,1.395610496,0.86631053
1,5.6,1.497266029,0.068795269
1,4.9,3.826285214,0
1,4.4,3.872976988,0
1,4.3,4.039974705,0
1,4.2,3.734841589,0
1,4.1,4.702182464,0
1,3.9,4.165331672,0
1,3.9,1.939669108,0
1,3.9,0.918630223,0
1,3.6,0.376259303,0
1,3.4,0.397405969,0
1,3.1,0.397405969,0
1,2.3,0.376259303,0
1,1.4,9.947455029,0
1,0.9,4.047799778,0.042150982
1,1.1,3.43771319,2.026150074
1,3,1.755482164,4.395699759
1,4.9,2.152419384,6.050004958
1,6.7,0.665957089,2.743107197
1,8.1,0.411713934,2.902239304
1,7.9,1.381531944,4.160129331
1,7.5,0.693119761,2.390113732
1,7.3,0.530164382,1.273005219
1,6.8,0.397405969,0.725152315
1,5.7,1.056995845,0.138627696
1,4.8,3.02750259,0
1,3.7,3.61262408,0
1,3.3,3.648749733,0
1,3.4,3.542527537,0
1,3.7,4.538987659,0
1,2.8,4.159993213,0
1,2.3,1.939043225,0
1,2,0.918698361,0
1,1.9,0.376327441,0
1,1.3,0.397474108,0
1,0.9,0.397474108,0
1,0.6,0.376327441,0
1,0.3,9.899147275,0
1,0.1,5.450124199,0.042448743
1,0.3,4.233981478,1.043568801
1,2.5,1.868103243,2.489899887
1,5.3,2.153079448,4.750624458
1,6.5,0.666025227,7.206174281
1,7.4,0.411782073,5.085565323
1,7.6,1.38337586,4.36317733
1,6.8,0.6931879,4.781392936
1,5.4,0.530232521,2.418202014
1,5.3,0.397474108,1.294790188
1,4.2,0.964343496,0.16219925
1,3.6,3.097949023,0
1,2.8,3.674089803,0
1,2.1,3.753235511,0
1,1.7,3.788213779,0
1,1.1,4.966870762,0
1,0.8,4.474683019,0
1,0.8,1.93970329,0
1,0.4,0.673244256,0
1,0.6,0.37637759,0
1,0.1,0.397524256,0
1,0.8,0.397524256,0
1,1,0.37637759,0
1,0.6,0.397524256,0
1,0.2,0.397524256,0.042574116
1,0.3,13.05065624,0.34952169
1,2,5.146707308,0.810919158
1,3.7,3.641529916,1.162025097
1,4.4,2.061412859,1.416345779
1,4.8,2.42500344,1.91230195
1,4.5,2.51919272,1.850122002
1,5.2,0.888790798,1.857443827
1,4.9,0.397524256,0.880327169
1,4.6,1.499276908,0.473506221
1,3.4,3.664903043,0.061614529
1,2.9,4.540007505,0
1,2.1,3.648167279,0
1,1.4,4.561581964,0
1,1,4.644486834,0
1,0.3,5.337571975,0
1,0.1,2.061383673,0
1,-0.3,1.42029505,0
1,-0.3,0.673194783,0
1,-0.6,0.376328116,0
1,-0.6,0.397474783,0
1,-0.4,0.397474783,0
1,-0.2,0.376328116,0
1,-0.4,0.397474783,0
1,-0.8,0.397474783,0.070321903
1,-0.2,13.62810837,1.230295647
1,2.3,5.886388677,2.94225167
1,4.5,4.018468095,3.396858419
1,5.2,3.464780612,7.486639969
1,6.8,2.389504438,7.168372861
1,6.6,2.669132788,7.55086394
1,6.3,0.888741324,6.175917262
1,6.3,0.397474783,5.081314537
1,6.2,1.74080602,1.748633184
1,5.5,3.806617228,0.162830036
1,4.5,4.549385361,0
1,3.9,3.559943087,0
1,3.8,4.296199978,0
1,3.5,4.296096547,0
1,3.4,4.864616666,0
1,3,2.061034047,0
1,2.7,1.420837502,0
1,2.3,0.918634495,0
1,2,0.376263575,0
1,1.6,0.397410242,0
1,1.1,0.397410242,0
1,0.9,0.376263575,0
1,0.3,9.899083409,0
1,0.4,4.293010241,0.042119639
1,0.3,4.734028187,0.425785272
1,2.6,2.148999682,0.822532781
1,5.3,2.153015583,1.206195271
1,6.7,0.665961361,4.263573046
1,8.8,0.764738472,1.548335408
1,8,1.821401779,1.490782863
1,8.6,0.693124034,1.257031363
1,8.1,0.530168655,1.149974575
1,6.8,1.546545284,0.499977076
1,6.3,1.519675614,0.061562306
1,5.6,3.798429693,0
1,4.7,3.86096312,0
1,4.5,4.04544262,0
1,3.8,3.774827269,0
1,3.7,4.752328403,0
1,3.8,4.153639694,0
1,3.5,1.939639424,0
1,3.1,0.918687117,0
1,2.9,0.376316197,0
1,2.5,0.397462864,0
1,2.5,0.397462864,0
1,3,0.376316197,0
1,2.5,10.00665954,0
1,2.5,4.753618109,0.07060653
1,2.6,4.69869184,2.143929274
1,2.6,3.615226185,4.907650344
1,2.5,2.152476279,6.655947575
1,2.4,0.666013983,7.667487273
1,2.9,4.723529873,8.017738833
1,3.9,3.047763597,7.785095809
1,4.9,0.693176656,6.840849452
1,5.1,0.530221277,3.566785611
1,6,2.54868144,1.817021507
1,5.5,1.989450535,0.211157829
1,4.9,4.892455091,0
1,4.5,4.191413038,0
1,3.2,4.884220218,0
1,2.5,4.377450717,0
1,2,5.392341813,0
1,1,4.709993368,0
1,0.8,1.93910012,0
1,0.1,0.918666878,0
1,-0.5,0.376295958,0
1,-0.7,0.397442625,0
1,-1,0.397442625,0
1,-1.4,0.376295958,0
1,-1.7,9.844834236,0
1,-1.9,6.398908866,0.070580655
1,-0.9,4.710347197,2.005546897
1,-0.2,3.614189167,4.591828904
1,1.3,2.153047965,4.496536738
1,2.6,0.665993744,2.787973607
1,4.3,3.753571195,3.954491397
1,6.7,2.695288422,5.960556976
1,8.3,0.693156417,3.357761131
1,8.9,0.530201038,1.331212049
1,9,2.7418405,0.809666066
1,8.9,1.738975137,0.162133912
1,7.8,4.285000095,0
1,7.4,3.726106153,0
1,7.2,4.134540116,0
1,6.1,3.625289373,0
1,5.5,4.607858318,0
1,4.9,4.075100149,0
1,4.6,1.939671807,0
1,4.7,0.918574228,0
1,6.7,0.376203308,0
1,5.9,0.397349974,0
1,4.9,0.397349974,0
1,5.3,0.376203308,0
1,5.3,8.161379189,0
1,5.3,3.356507309,0.041884565
1,4.9,3.313196509,0.48579409
1,5.5,1.996812352,1.76782659
1,5.8,2.152955315,4.682320533
1,6.6,0.665901094,2.454148487
1,6.9,2.213037788,1.700168136
1,7.2,2.183160505,2.026084763
1,7.4,0.693063766,1.726641484
1,7.2,0.530108387,1.033479505
1,6.6,2.41890946,0.608059489
1,6.6,1.789271605,0.109715585
1,5.5,4.387322947,0
1,5,3.982588586,0
1,4.2,4.417833155,0
1,3.3,4.021529769,0
1,2.6,5.074707005,0
1,1.9,4.472440052,0
1,1.2,1.939579156,0
1,1,0.918602562,0
1,1.3,0.376231642,0
1,0.8,0.397378309,0
1,1.2,0.397378309,0
1,1.2,0.376231642,0
1,1.1,9.933081621,0
1,1.1,4.15578409,0.070244278
1,1.8,4.169479425,2.116866729
1,2.4,3.123518702,4.634716926
1,3.4,2.15298365,4.144049122
1,4.3,0.665929429,4.3675347
1,4.5,4.317360194,7.640122912
1,6.5,2.308499964,5.627319304
1,7.5,0.693092101,3.511199555
1,9,0.530136722,3.723866642
1,9.6,1.405861767,0.918297115
1,9.8,1.207577251,0.212283603
1,8.5,3.374193181,0
1,8.3,3.363757103,0
1,8.2,3.513246493,0
1,7,3.224653939,0
1,6.2,4.267186963,0
1,4.9,3.941043859,0
1,4.3,1.939607491,0
1,3.7,0.673022525,0
1,2.7,0.376155858,0
1,2.3,0.397302525,0
1,1.8,0.397302525,0
1,1.5,0.376155858,0
1,1,0.397302525,0
1,0.7,0.397302525,0.069519774
1,1.3,13.88809418,1.75510383
1,3.3,4.851110594,4.689131829
1,6.1,2.757101227,6.319320458
1,8.3,2.061191127,7.31002949
1,8.9,1.962376333,7.634882094
1,10.1,2.044650914,7.427898317
1,10.8,0.888569066,4.559989237
1,10.8,0.397302525,2.792625154
1,10.3,0.397302525,0.9932809
1,9.8,2.046555848,0.211712252
1,9.4,2.911624739,0
1,8.7,2.83006975,0
1,7.9,2.774934731,0
1,7.7,3.301289225,0
1,7.2,3.983853466,0
1,6.7,2.05716381,0
1,6.6,1.420073318,0
1,6.7,0.672949888,0
1,6.6,0.376083222,0
1,6.7,0.397229888,0
1,6.2,0.397229888,0
1,5.7,0.376083222,0
1,5.5,0.397229888,0
1,5.4,0.743300609,0.041743521
1,5.7,8.7974033,0.201734484
1,6.3,5.701708273,0.636538737
1,6.7,2.986473018,0.844507794
1,7.4,2.260447515,1.037424445
1,7.3,1.972714426,1.064540692
1,7.6,1.442382686,0.744281929
1,8.2,0.376083222,0.610890368
1,8.5,0.397229888,0.47326077
1,8.8,3.125255082,0.255084656
1,8.9,2.179071317,0.060824547
1,8.9,2.195603328,0
1,8.8,1.284578356,0
1,8.9,2.782044316,0
1,8.7,3.613981854,0
1,8.8,3.853898651,0
1,8.7,1.401959335,0
1,8.9,1.700740374,0
1,8.7,0.918388926,0
1,8.5,0.376018006,0
1,8.8,0.397164673,0
1,8.5,0.397164673,0
1,8.7,0.376018006,0
1,8.6,5.252769951,0
1,8.7,2.655535405,0.041242029
1,9.2,2.947713373,0.402620611
1,9.3,2.065566543,0.800018561
1,9.4,2.152770014,1.122295289
1,9.3,0.665715793,1.372940861
1,9.2,2.360908345,1.459246344
1,9.3,2.296570326,1.400017864
1,9.3,0.692878465,1.179939453
1,9.9,0.529923086,0.867821416
1,10.1,2.174876492,0.490554502
1,10,1.49017975,0.108217953
1,9.9,3.455194909,0
1,8.8,3.360730444,0
1,8,3.633664402,0
1,7.4,3.198218774,0
1,6.6,4.214078073,0
1,6.8,3.716403557,0
1,5.9,1.939393855,0
1,6,0.918553314,0
1,5.8,0.376182394,0
1,4.4,0.39732906,0
1,4.5,0.39732906,0
1,3.7,0.376182394,0
1,3.3,8.756680001,0
1,2.8,3.627666169,0.068743519
1,3.3,3.233335989,0.570378694
1,5.4,1.626339606,1.012485941
1,7.2,2.152342475,1.436525498
1,7.9,0.66588018,2.507289581
1,8.5,1.07320139,3.631695753
1,8.1,1.869824094,4.605132813
1,7.9,0.693042852,4.486535916
1,8.6,0.530087473,1.458269606
1,7,1.244690687,0.84559867
1,7.1,1.356351738,0.166395785
1,6.7,3.419852591,0
1,5.9,3.606465945,0
1,5.1,3.775470733,0
1,4.6,3.529516245,0
1,4,4.585174083,0
1,4.1,4.042042909,0
1,3.9,1.938966316,0
1,3.6,0.918584347,0
1,3.8,0.376213427,0
1,3.8,0.397360094,0
1,3.9,0.397360094,0
1,3.8,0.376213427,0
1,3.6,9.238225296,0
1,3.5,3.594376721,0.069778525
1,4.2,3.660517436,0.567017893
1,5.1,2.273509074,1.028364258
1,5.8,2.152965434,1.4774164
1,6.2,0.665911213,2.151476852
1,6.8,2.66620121,4.826061403
1,7.7,2.042029529,3.603108134
1,7.9,0.693073886,3.512992464
1,8,0.530118507,1.144068032
1,7.3,2.039907953,0.675229522
1,7,1.667065323,0.78171627
1,5.9,4.164405566,0
1,5.1,3.920114983,0
1,4.7,4.257990389,0
1,4.2,3.847772605,0
1,3.6,4.863096015,0
1,3.7,4.232644273,0
1,2.8,1.939589276,0
1,2.2,0.918610433,0
1,2.4,0.376239513,0
1,1.6,0.39738618,0
1,2.2,0.39738618,0
1,2.2,0.376239513,0
1,1.4,9.94743524,0
1,1.4,4.056220503,0.141199357
1,1.3,3.737341395,1.924148976
1,2.5,2.833137701,4.807683809
1,4,2.152399594,6.500205724
1,6.6,0.665937299,7.472014699
1,8,1.638902955,7.821982401
1,8.8,1.890492974,4.779995966
1,8.8,0.693099972,4.071547679
1,9,0.530144593,4.075594507
1,8.5,1.051841003,1.160565898
1,7.7,1.231855729,0.379256036
1,6.4,3.424378684,0
1,5.7,3.647147916,0
1,5,3.826320868,0
1,4.9,3.560374096,0
1,3.7,4.699408573,0
1,3,4.23272497,0
1,3.1,1.939023436,0
1,2.8,0.91863427,0
1,2.5,0.37626335,0
1,2.4,0.397410017,0
1,1.8,0.397410017,0
1,0.9,0.37626335,0
1,1.1,9.933113329,0
1,0.3,4.220315824,0.069390398
1,1,3.555971555,1.278049694
1,3.4,1.851085719,3.258263869
1,6.1,2.153015358,2.895726729
1,7.6,0.665961137,1.791785563
1,8.2,0.740481823,2.336060166
1,7.7,1.800524225,4.229169553
1,8.2,0.693123809,2.335552698
1,7.9,0.53016843,1.196766846
1,6.7,1.465329561,0.89150907
1,6.4,1.465356552,0.225852606
1,5.7,3.700222073,0
1,4.7,3.835410939,0
1,4,4.063694065,0
1,3.3,3.838980941,0
1,2.6,4.932677015,0
1,2.5,4.338839067,0
1,2,1.939639199,0
1,1.6,0.673146433,0
1,1.1,0.376279767,0
1,1,0.397426433,0
1,0.4,0.397426433,0
1,1.1,0.376279767,0
1,-0.1,0.397426433,0
1,-0.3,0.397426433,0.142458946
1,0.2,13.16746129,2.311262548
1,2.9,5.291006366,4.918826826
1,5.1,3.584566945,6.649746912
1,7.8,2.061315036,7.656451784
1,6.9,2.394196621,7.997775502
1,7.9,2.486525892,7.189327312
1,7.9,0.888692975,4.78424616
1,7.6,0.397426433,3.775839759
1,7.4,1.447923431,1.324155605
1,6.7,3.431234725,0.485287681
1,5.7,4.217472284,0
1,5.2,3.373852017,0
1,4.5,3.960586735,0
1,3.8,4.18137359,0
1,3.4,4.814870345,0
1,2.8,2.059521969,0
1,1.9,1.420197227,0
1,1.6,0.673197931,0
1,0.8,0.376331264,0
1,0.8,0.397477931,0
1,0.7,0.397477931,0
1,0.4,0.376331264,0
1,0.3,0.397477931,0
1,-0.5,0.397477931,0.142773844
1,-0.1,13.19107513,2.509419677
1,2.1,5.315181902,4.889621897
1,4.6,3.58920639,6.571751968
1,5.9,2.061366534,7.576412965
1,6.4,1.962551739,6.656867017
1,7,2.04482632,4.236066021
1,6.9,0.888744473,2.172715605
1,6.2,0.397477931,1.994243567
1,6.8,1.442250241,1.270434044
1,3.8,3.712994409,1.116444188
1,3.6,4.47447017,0
1,2.9,3.562380251,0
1,2.4,4.318361121,0
1,2.3,4.414909329,0
1,1.7,5.088146067,0
1,1.3,2.061093964,0
1,1.7,1.42084065,0
1,0.6,0.918769423,0
1,0.3,0.376398503,0
1,0.3,0.39754517,0
1,0.1,0.39754517,0
1,-0.2,0.376398503,0
1,-0.8,9.863517305,0
1,-1.1,4.686981093,0.229454675
1,-0.4,3.744256043,1.611555994
1,1.8,1.942559379,2.761889721
1,3.2,2.153150511,6.737830419
1,4.8,0.666096289,7.740114714
1,5,0.79019508,8.144178447
1,5.3,1.383446922,7.887386313
1,5.3,0.693258962,5.926246665
1,3.3,0.530303583,3.027261008
1,3.7,0.832829672,1.232165609
1,3.4,1.267707563,0.421216806
1,2.7,3.419264956,0
1,2,3.972435381,0
1,1.2,4.107617571,0
1,0.4,4.170749882,0
1,0.1,5.327827175,0
1,-0.4,4.747487618,0
1,-0.9,1.939774352,0
1,-1.1,0.918758404,0
1,-1.5,0.376387484,0
1,-1.6,0.397534151,0
1,-2,0.397534151,0
1,-2.6,0.376387484,0
1,-2.5,9.837199772,0
1,-2.4,5.001473925,0.070710031
1,-1.6,4.0999816,1.06001727
1,0.3,2.196285275,3.254756997
1,2.8,2.152547565,5.379841513
1,4.9,0.66608527,5.496853709
1,6.3,1.258375875,4.093231728
1,5.6,1.793777171,3.507863848
1,6.3,0.693247943,3.44766393
1,5.7,0.530292564,2.475486609
1,5.6,1.05257266,0.889282764
1,4.6,1.283021481,0.316044993
1,3.6,3.577101882,0
1,3.1,3.929781599,0
1,2.7,4.070153397,0
1,2.4,3.94951962,0
1,2.2,4.996766269,0
1,2,4.408874346,0
1,1.8,1.939171407,0
1,1.6,0.91859829,0
1,0.9,0.37622737,0
1,0.6,0.397374036,0
1,0.3,0.397374036,0
1,0.1,0.37622737,0
1,0.2,9.895250954,0
1,0.7,4.257099659,0.032803001
1,1.1,4.240352156,0.270505496
1,2.2,3.098485269,0.453936223
1,3.6,2.152979377,0.625026302
1,5.8,0.665925156,0.781795224
1,9.3,1.57720841,0.809121297
1,9.2,1.680791732,1.145927598
1,9.7,0.693087828,1.309565785
1,9.9,0.530132449,1.010099378
1,8.9,0.925838844,0.580741796
1,9.1,1.063936056,0.175002338
1,8.4,2.861726289,0
1,7.6,3.283693673,0
1,6.4,3.419716764,0
1,5.9,3.240984344,0
1,5.5,4.282402885,0
1,5,3.898812137,0
1,3.8,1.939603218,0
1,3.7,0.918621452,0
1,3.3,0.376250532,0
1,2.9,0.397397199,0
1,1.9,0.397397199,0
1,2.4,0.376250532,0
1,3,10.03646955,0
1,2.4,3.817642497,0.060433818
1,3,3.51308652,0.571552768
1,4.7,1.725078107,1.631398166
1,6.4,2.15300254,2.719708991
1,6.6,0.665948318,3.650917908
1,6.4,1.13507358,2.843930909
1,6.6,1.851127474,1.837554969
1,6.9,0.693110991,2.866951269
1,7.3,0.530155612,1.21609362
1,6.4,1.080097199,1.749824639
1,6.2,1.238157026,0.339438914
1,5.3,3.398196761,0
1,4.5,3.741391589,0
1,3.5,3.920868418,0
1,3.2,3.770903449,0
1,3.3,4.764967481,0
1,3.1,4.235068023,0
1,2.5,1.939626381,0
1,2.4,0.918612907,0
1,1.3,0.376241987,0
1,1.2,0.397388654,0
1,1,0.397388654,0
1,0.6,0.376241987,0
1,0.6,9.911074417,0
1,-0.1,4.32592162,0.103716497
1,0.9,3.872028013,1.132050899
1,2.8,1.956583942,4.641416507
1,6.1,2.152993994,6.681823469
1,6.6,0.665939773,7.088215001
1,6.9,0.833123485,2.995768915
1,8,1.383290406,4.377232158
1,8.3,0.693102446,4.39771942
1,8.8,0.530147067,5.655001366
1,8.1,0.827465953,1.954619996
1,7.3,1.167283885,0.406175857
1,6.6,2.959053353,0
1,6.1,3.427949446,0
1,5.9,3.426299083,0
1,5.5,3.242614337,0
1,5.1,4.294897658,0
1,4.8,3.897940318,0
1,4.5,1.939617835,0
1,4.4,0.673060979,0
1,4,0.376194312,0
1,3.9,0.397340979,0
1,4,0.397340979,0
1,3.8,0.376194312,0
1,3.3,0.397340979,0
1,3.1,0.397340979,0.060200617
1,3.4,13.34493136,0.608670085
1,4.8,4.372138805,1.668381005
1,6.7,2.285273828,3.672384735
1,8.9,2.061229582,4.049123549
1,9,1.962414787,2.79754875
1,9.7,2.044689368,2.248001807
1,9.6,0.888607521,1.565119019
1,8.2,0.397340979,1.450605172
1,7.9,0.397340979,0.744506089
1,7.3,3.241939336,0.25396178
1,6.1,3.93544524,0
1,5.7,3.220330098,0
1,4.2,3.692717743,0
1,3.7,4.49424578,0
1,3.3,4.715495574,0
1,3,2.057895652,0
1,2.5,1.420111772,0
1,2.4,0.673145984,0
1,1.8,0.376279317,0
1,1.8,0.397425984,0
1,1.2,0.397425984,0
1,0.8,0.376279317,0
1,0.8,0.397425984,0
1,0.4,0.743496705,0.103675188
1,1.3,13.40205105,0.634926422
1,2.7,6.351245075,1.130527393
1,5.6,2.363222016,2.77329354
1,5.8,1.840499331,3.177697485
1,7.4,1.459464088,2.889059263
1,6.6,1.00176672,7.333958044
1,7.1,0.376279317,3.386593938
1,6.6,0.397425984,1.266011687
1,7.1,2.292378682,0.768500188
1,6.5,2.127767637,0.237824324
1,5.8,2.488050961,0
1,5.2,1.555820658,0
1,4.6,3.451477448,0
1,3.8,4.306605448,0
1,3.2,4.670707958,0
1,2.2,1.402155431,0
1,2,1.70093647,0
1,1.2,0.918596266,0
1,1.1,0.376225346,0
1,0.9,0.397372012,0
1,0.5,0.397372012,0
1,0,0.376225346,0
1,-0.4,9.874748218,0
1,-0.6,5.892240782,0.152856218
1,0.4,4.319368884,1.421755085
1,3,2.238232601,2.237875218
1,5.2,2.152977353,3.276229375
1,7.1,0.665923132,7.520213258
1,8.8,1.066536184,7.914720846
1,8.8,1.838872306,6.47373981
1,9.2,0.693085804,2.166267233
1,9,0.530130426,3.968890232
1,9.6,1.359654712,2.930449705
1,9,1.331615922,0.664015572
1,8.3,3.324330958,0
1,8.1,3.375214464,0
1,7.1,3.590657845,0
1,5.9,3.353908203,0
1,5.2,4.418319337,0
1,4.8,3.976473175,0
1,4.5,1.939601194,0
